Unnamed: 0,dep_id,device_id,var_id,var,sol
42115,4,d_7,165,x_165,0
42119,4,d_25,166,x_166,0
42120,4,d_31,167,x_167,0
42123,4,d_26,168,x_168,0
42134,4,t_7,169,x_169,1
42138,4,d_9,170,x_170,0
42139,4,d_17,171,x_171,0
42143,4,d_15,172,x_172,1
42144,4,d_27,173,x_173,0
42148,4,d_21,174,x_174,0
42150,4,t_0,175,x_175,1
42153,4,d_14,176,x_176,0
42162,4,d_16,177,x_177,0
42165,4,t_11,178,x_178,0
42229,4,t_2,179,x_179,1
67092,5,d_20,180,x_180,0
67093,5,d_22,181,x_181,0
67094,5,t_3,182,x_182,0
67095,5,d_14,183,x_183,1
67096,5,d_28,184,x_184,0
67097,5,t_11,185,x_185,0
67098,5,d_16,186,x_186,0
67100,5,t_0,187,x_187,0
67101,5,d_15,188,x_188,0
67102,5,d_7,189,x_189,0
67103,5,t_6,190,x_190,0
67104,5,d_5,191,x_191,0
67105,5,d_31,192,x_192,1
67107,5,d_1,193,x_193,0
67109,5,t_12,194,x_194,0
67110,5,d_19,195,x_195,0
67111,5,d_23,196,x_196,1
67113,5,d_8,197,x_197,1
67114,5,d_0,198,x_198,1
67116,5,d_6,199,x_199,1
67118,5,t_4,200,x_200,1
67120,5,d_3,201,x_201,1
67121,5,t_10,202,x_202,1
67124,5,t_2,203,x_203,0
67127,5,t_8,204,x_204,1
67128,5,d_26,205,x_205,1
67131,5,d_24,206,x_206,0
67132,5,d_11,207,x_207,1
67133,5,t_1,208,x_208,0
67135,5,d_18,209,x_209,0
67136,5,t_9,210,x_210,1
67140,5,d_10,211,x_211,0
67141,5,d_21,212,x_212,0
67146,5,d_4,213,x_213,0
67153,5,d_2,214,x_214,0
67156,5,d_27,215,x_215,0
67165,5,d_29,216,x_216,1
67170,5,d_13,217,x_217,1
67172,5,t_7,218,x_218,0
67190,5,d_17,219,x_219,1
67192,5,t_5,220,x_220,1
67201,5,d_30,221,x_221,1
67220,5,d_12,222,x_222,0
67254,5,d_25,223,x_223,1
67366,5,d_9,224,x_224,1
